Dataset using: ../Dataset/input.pkl
start training model with fold  0
Eval Epoch: 84 | Loss: 1.235 | Eval Acc: 0.525
Test Epoch: 84 | Loss: 1.295 | Test Acc: 0.600
Train Epoch:85  |Loss: 0.433 | Train Acc: 0.858
Eval Epoch: 85 | Loss: 1.089 | Eval Acc: 0.550
Test Epoch: 85 | Loss: 1.143 | Test Acc: 0.525
Train Epoch:86  |Loss: 0.396 | Train Acc: 0.867
Eval Epoch: 86 | Loss: 1.290 | Eval Acc: 0.600
Test Epoch: 86 | Loss: 1.314 | Test Acc: 0.550
Train Epoch:87  |Loss: 0.404 | Train Acc: 0.900
Eval Epoch: 87 | Loss: 1.258 | Eval Acc: 0.625
Test Epoch: 87 | Loss: 1.256 | Test Acc: 0.550
Train Epoch:88  |Loss: 0.480 | Train Acc: 0.775
Eval Epoch: 88 | Loss: 1.669 | Eval Acc: 0.475
Test Epoch: 88 | Loss: 1.602 | Test Acc: 0.525
Train Epoch:89  |Loss: 0.618 | Train Acc: 0.725
Eval Epoch: 89 | Loss: 1.603 | Eval Acc: 0.600
Test Epoch: 89 | Loss: 1.602 | Test Acc: 0.550
Train Epoch:90  |Loss: 0.509 | Train Acc: 0.767
Eval Epoch: 90 | Loss: 1.570 | Eval Acc: 0.625
Test Epoch: 90 | Loss: 1.576 | Test Acc: 0.625
saving last....
Train Epoch:91  |Loss: 0.680 | Train Acc: 0.692
Eval Epoch: 91 | Loss: 1.614 | Eval Acc: 0.425
Test Epoch: 91 | Loss: 1.727 | Test Acc: 0.450
Train Epoch:92  |Loss: 0.571 | Train Acc: 0.775
Eval Epoch: 92 | Loss: 1.340 | Eval Acc: 0.650
Test Epoch: 92 | Loss: 1.443 | Test Acc: 0.550
Train Epoch:93  |Loss: 0.599 | Train Acc: 0.800
Eval Epoch: 93 | Loss: 0.971 | Eval Acc: 0.475
Test Epoch: 93 | Loss: 1.097 | Test Acc: 0.550
Train Epoch:94  |Loss: 0.611 | Train Acc: 0.675
Eval Epoch: 94 | Loss: 1.543 | Eval Acc: 0.575
Test Epoch: 94 | Loss: 1.524 | Test Acc: 0.550
Train Epoch:95  |Loss: 0.705 | Train Acc: 0.750
Eval Epoch: 95 | Loss: 1.137 | Eval Acc: 0.600
Test Epoch: 95 | Loss: 1.228 | Test Acc: 0.575
Train Epoch:96  |Loss: 0.590 | Train Acc: 0.750
Eval Epoch: 96 | Loss: 0.996 | Eval Acc: 0.450
Test Epoch: 96 | Loss: 1.167 | Test Acc: 0.575
Train Epoch:97  |Loss: 0.438 | Train Acc: 0.850
Eval Epoch: 97 | Loss: 1.188 | Eval Acc: 0.625
Test Epoch: 97 | Loss: 1.225 | Test Acc: 0.600
Train Epoch:98  |Loss: 0.441 | Train Acc: 0.842
Eval Epoch: 98 | Loss: 1.141 | Eval Acc: 0.625
Test Epoch: 98 | Loss: 1.166 | Test Acc: 0.550
