Dataset using: ../Dataset/ablation_test.pkl
(200, 2)
start training model with fold  0
Train Epoch:109  |Loss: 0.698 | Train Acc: 0.717
Eval Epoch: 109 | Loss: 0.806 | Eval Acc: 0.600
Test Epoch: 109 | Loss: 0.975 | Test Acc: 0.500
Train Epoch:110  |Loss: 0.696 | Train Acc: 0.725
Eval Epoch: 110 | Loss: 0.797 | Eval Acc: 0.600
Test Epoch: 110 | Loss: 0.971 | Test Acc: 0.450
saving last....
Train Epoch:111  |Loss: 0.698 | Train Acc: 0.692
Eval Epoch: 111 | Loss: 0.797 | Eval Acc: 0.575
Test Epoch: 111 | Loss: 0.977 | Test Acc: 0.450
Train Epoch:112  |Loss: 0.691 | Train Acc: 0.692
Eval Epoch: 112 | Loss: 0.796 | Eval Acc: 0.600
Test Epoch: 112 | Loss: 0.976 | Test Acc: 0.475
Train Epoch:113  |Loss: 0.697 | Train Acc: 0.717
Eval Epoch: 113 | Loss: 0.803 | Eval Acc: 0.600
Test Epoch: 113 | Loss: 0.986 | Test Acc: 0.475
Train Epoch:114  |Loss: 0.685 | Train Acc: 0.717
Eval Epoch: 114 | Loss: 0.784 | Eval Acc: 0.525
Test Epoch: 114 | Loss: 0.970 | Test Acc: 0.450
Train Epoch:115  |Loss: 0.689 | Train Acc: 0.750
Eval Epoch: 115 | Loss: 0.789 | Eval Acc: 0.600
Test Epoch: 115 | Loss: 0.975 | Test Acc: 0.475
Train Epoch:116  |Loss: 0.688 | Train Acc: 0.708
Eval Epoch: 116 | Loss: 0.819 | Eval Acc: 0.650
Test Epoch: 116 | Loss: 1.009 | Test Acc: 0.550
saving best....
Train Epoch:117  |Loss: 0.680 | Train Acc: 0.683
Eval Epoch: 117 | Loss: 0.787 | Eval Acc: 0.550
Test Epoch: 117 | Loss: 0.987 | Test Acc: 0.475
Train Epoch:118  |Loss: 0.687 | Train Acc: 0.708
Eval Epoch: 118 | Loss: 0.782 | Eval Acc: 0.550
Test Epoch: 118 | Loss: 0.977 | Test Acc: 0.450
Train Epoch:119  |Loss: 0.694 | Train Acc: 0.692
Eval Epoch: 119 | Loss: 0.796 | Eval Acc: 0.650
Test Epoch: 119 | Loss: 0.991 | Test Acc: 0.525
Train Epoch:120  |Loss: 0.671 | Train Acc: 0.750
Eval Epoch: 120 | Loss: 0.774 | Eval Acc: 0.525
Test Epoch: 120 | Loss: 0.978 | Test Acc: 0.375
saving last....
Train Epoch:121  |Loss: 0.666 | Train Acc: 0.733
Eval Epoch: 121 | Loss: 0.785 | Eval Acc: 0.600
Test Epoch: 121 | Loss: 0.987 | Test Acc: 0.450
Train Epoch:122  |Loss: 0.673 | Train Acc: 0.700
Eval Epoch: 122 | Loss: 0.789 | Eval Acc: 0.600
Test Epoch: 122 | Loss: 0.996 | Test Acc: 0.475
Train Epoch:123  |Loss: 0.661 | Train Acc: 0.742
Eval Epoch: 123 | Loss: 0.767 | Eval Acc: 0.525
Test Epoch: 123 | Loss: 0.974 | Test Acc: 0.425
Train Epoch:124  |Loss: 0.663 | Train Acc: 0.717
Eval Epoch: 124 | Loss: 0.779 | Eval Acc: 0.625
Test Epoch: 124 | Loss: 0.987 | Test Acc: 0.500
Train Epoch:125  |Loss: 0.653 | Train Acc: 0.733
Eval Epoch: 125 | Loss: 0.771 | Eval Acc: 0.600
Test Epoch: 125 | Loss: 0.986 | Test Acc: 0.450
Train Epoch:126  |Loss: 0.650 | Train Acc: 0.758
Eval Epoch: 126 | Loss: 0.769 | Eval Acc: 0.575
Test Epoch: 126 | Loss: 0.986 | Test Acc: 0.425
Train Epoch:127  |Loss: 0.652 | Train Acc: 0.750
Eval Epoch: 127 | Loss: 0.767 | Eval Acc: 0.625
Test Epoch: 127 | Loss: 0.983 | Test Acc: 0.450
Train Epoch:128  |Loss: 0.649 | Train Acc: 0.742
